school_name,island_id,atoll_id,original_location
Kamadhoo School,26,3,Baa Kamadhoo
Kihaadhoo School,28,3,Baa Kihaadhoo
Dhonfanu School,20,3,Baa Dhonfanu
"Baa Atoll School LKG,",19,3,Baa Dharavandhoo
"Maalolhu School LKG,",30,3,Baa Maalhos
"Hithadhoo School LKG,",153,18,Baa Hithadhoo
Thulhaadhoo School,31,3,Baa Thulhaadhoo
Goidhoo School,163,19,Baa Goidhoo
Fehendhoo School,22,3,Baa Fehendhoo
Fulhadhoo School,23,3,Baa Fulhadhoo
Lh.Atoll education Centre,109,13,Baa Hinnavaru
Madhrasathul Ifthithaah,111,13,Baa Naifaru
Lh.Atoll School,110,13,Baa Kurendhoo
Habashee Pre-School,110,13,Baa Kurendhoo
Lh. Olhuvelifushi School,112,13,Baa Olhuvelifushi
Faafu Atholhu Madharusa,40,5,Faafu Feeali
Magoodhoo School,133,16,Faafu Magoodhoo
Dharanboodhoo School,39,5,Faafu Dharanboodhoo
Bilehdhoo School,38,5,Faafu Bilehdhoo
GN. Atoll Education Centre,61,8,Gnaviyani Fuvahmulah
Mohamed Jamaluddin School,61,8,Gnaviyani Fuvahmulah
"Hafiz Ahmed School LKG,",61,8,Gnaviyani Fuvahmulah
"Fuvamulaku School LKG,",61,8,Gnaviyani Fuvahmulah
Ideal School,61,8,Gnaviyani Fuvahmulah
"Zikura School LKG,",61,8,Gnaviyani Fuvahmulah
Brightway International School,61,8,Gnaviyani Fuvahmulah
Huvadhoo School,52,7,"Gaafu Dhaalu Education Centre (Thinadhoo, Gaafu Dhaalu) FaresMathoda"
Sharafuddin School,153,18,Seenu School (Hulhumeedhoo) Hithadhoo
Irshadiyya School,155,18,Seenu School (Hulhumeedhoo) Maradhoo
Feydhoo School,160,19,Seenu School (Hulhumeedhoo) Feydhoo
Nooraanee School,153,18,Seenu School (Hulhumeedhoo) Hithadhoo
Addu High School,153,18,Seenu School (Hulhumeedhoo) Hithadhoo
Maradhoo school,155,18,Seenu School (Hulhumeedhoo) Maradhoo
Shareepee Pre school,154,18,Seenu School (Hulhumeedhoo) Hulhumeedhoo
Makthabul Asriyya,154,18,Seenu School (Hulhumeedhoo) Hulhumeedhoo
Maradoofeydhoo School,156,18,Addu Education Center (Hithadhoo) Maradhoofeydhooo
Hithadhoo School,153,18,Addu Education Center (Hithadhoo) Hithadhoo
Kudhimaa Pre School,160,19,Addu Education Center (Hithadhoo) Feydhoo
Aman pre-school,155,18,Addu Education Center (Hithadhoo) Maradhoo
Ujala pre-school,156,18,Addu Education Center (Hithadhoo) Maradhoofeydhooo
Medhevalu School,153,18,Addu Education Center (Hithadhoo) Hithadhoo
Hiraa School,153,18,Addu Education Center (Hithadhoo) Hithadhoo
